timestamp,event_type,message
2025-08-08 23:59:28,DETECTION,Frame 672 - 5 objek terdeteksi
2025-08-08 23:59:29,DETECTION,Frame 680 - 4 objek terdeteksi
2025-08-08 23:59:29,DETECTION,Frame 688 - 4 objek terdeteksi
2025-08-08 23:59:30,DETECTION,Frame 696 - 3 objek terdeteksi
2025-08-08 23:59:30,DETECTION,Frame 704 - 2 objek terdeteksi
2025-08-08 23:59:31,DETECTION,Frame 712 - 2 objek terdeteksi
2025-08-08 23:59:31,DETECTION,Frame 720 - 2 objek terdeteksi
2025-08-08 23:59:32,DETECTION,Frame 728 - 2 objek terdeteksi
2025-08-08 23:59:32,DETECTION,Frame 736 - 2 objek terdeteksi
2025-08-10 01:57:56,INFO,Upload video started: tmp8wybr38d
2025-08-10 01:57:58,DETECTION,Frame 8 - 4 objek
2025-08-10 01:57:58,DETECTION,Frame 16 - 4 objek
2025-08-10 01:57:59,DETECTION,Frame 24 - 3 objek
2025-08-10 01:57:59,DETECTION,Frame 32 - 3 objek
2025-08-10 01:58:00,DETECTION,Frame 40 - 3 objek
2025-08-10 01:58:00,DETECTION,Frame 48 - 4 objek
2025-08-10 01:58:01,DETECTION,Frame 56 - 3 objek
2025-08-10 01:58:01,DETECTION,Frame 64 - 3 objek
2025-08-10 01:58:02,DETECTION,Frame 72 - 4 objek
2025-08-10 01:58:02,DETECTION,Frame 80 - 5 objek
2025-08-10 01:58:02,DETECTION,Frame 88 - 4 objek
2025-08-10 01:58:03,DETECTION,Frame 96 - 4 objek
2025-08-10 01:58:03,DETECTION,Frame 104 - 3 objek
2025-08-10 01:58:04,DETECTION,Frame 112 - 4 objek
2025-08-10 01:58:04,DETECTION,Frame 120 - 3 objek
2025-08-10 01:58:05,DETECTION,Frame 128 - 3 objek
2025-08-10 01:58:05,DETECTION,Frame 136 - 4 objek
2025-08-10 01:58:05,DETECTION,Frame 144 - 4 objek
2025-08-10 01:58:06,DETECTION,Frame 152 - 4 objek
2025-08-10 02:07:25,INFO,Upload video dimulai: tmpc2omee1i
2025-08-10 02:07:25,DETECTION,Frame 8 - 4 objek
2025-08-10 02:07:26,DETECTION,Frame 16 - 4 objek
2025-08-10 02:07:26,DETECTION,Frame 24 - 3 objek
2025-08-10 02:07:27,DETECTION,Frame 32 - 3 objek
2025-08-10 02:07:27,DETECTION,Frame 40 - 3 objek
2025-08-10 02:07:27,DETECTION,Frame 48 - 4 objek
2025-08-10 02:07:28,DETECTION,Frame 56 - 3 objek
2025-08-10 02:07:28,DETECTION,Frame 64 - 3 objek
2025-08-10 02:07:29,DETECTION,Frame 72 - 4 objek
2025-08-10 02:07:29,DETECTION,Frame 80 - 5 objek
2025-08-10 02:07:29,DETECTION,Frame 88 - 4 objek
2025-08-10 02:07:30,DETECTION,Frame 96 - 4 objek
2025-08-10 02:07:30,DETECTION,Frame 104 - 3 objek
2025-08-10 02:07:31,DETECTION,Frame 112 - 4 objek
2025-08-10 02:07:31,DETECTION,Frame 120 - 3 objek
2025-08-10 02:07:31,DETECTION,Frame 128 - 3 objek
2025-08-10 02:07:32,DETECTION,Frame 136 - 4 objek
2025-08-10 02:07:32,DETECTION,Frame 144 - 4 objek
2025-08-10 02:07:33,DETECTION,Frame 152 - 4 objek
2025-08-10 02:07:33,DETECTION,Frame 160 - 4 objek
2025-08-10 02:07:34,DETECTION,Frame 168 - 5 objek
2025-08-10 02:07:34,DETECTION,Frame 176 - 5 objek
2025-08-10 02:07:34,DETECTION,Frame 184 - 6 objek
2025-08-10 02:07:35,DETECTION,Frame 192 - 8 objek
2025-08-10 02:07:35,DETECTION,Frame 200 - 8 objek
2025-08-10 02:07:36,DETECTION,Frame 208 - 7 objek
2025-08-10 02:07:36,DETECTION,Frame 216 - 8 objek
2025-08-10 02:07:36,DETECTION,Frame 224 - 9 objek
2025-08-10 02:07:37,DETECTION,Frame 232 - 5 objek
2025-08-10 02:07:37,DETECTION,Frame 240 - 7 objek
2025-08-10 02:07:38,DETECTION,Frame 248 - 7 objek
2025-08-10 02:07:38,DETECTION,Frame 256 - 4 objek
2025-08-10 02:28:20,INFO,Upload video dimulai: tmp2f1cl_h6
2025-08-10 02:28:21,DETECTION,Frame 8 - 34 objek
2025-08-10 02:28:21,DETECTION,Frame 16 - 30 objek
2025-08-10 02:28:22,DETECTION,Frame 24 - 32 objek
2025-08-10 02:28:22,DETECTION,Frame 32 - 30 objek
2025-08-10 02:28:23,DETECTION,Frame 40 - 31 objek
2025-08-10 02:28:23,DETECTION,Frame 48 - 35 objek
2025-08-10 02:28:23,DETECTION,Frame 56 - 36 objek
2025-08-10 02:28:24,DETECTION,Frame 64 - 36 objek
2025-08-10 02:28:24,DETECTION,Frame 72 - 36 objek
2025-08-10 02:28:25,DETECTION,Frame 80 - 38 objek
2025-08-10 02:28:25,DETECTION,Frame 88 - 34 objek
2025-08-10 02:28:26,DETECTION,Frame 96 - 34 objek
2025-08-10 02:28:26,DETECTION,Frame 104 - 35 objek
2025-08-10 02:28:26,DETECTION,Frame 112 - 33 objek
2025-08-10 02:28:27,DETECTION,Frame 120 - 28 objek
2025-08-10 02:28:27,DETECTION,Frame 128 - 32 objek
2025-08-10 02:28:28,DETECTION,Frame 136 - 28 objek
2025-08-10 02:28:28,DETECTION,Frame 144 - 30 objek
2025-08-10 02:28:28,DETECTION,Frame 152 - 30 objek
2025-08-10 02:28:29,DETECTION,Frame 160 - 28 objek
2025-08-10 02:28:29,DETECTION,Frame 168 - 29 objek
2025-08-10 02:28:30,DETECTION,Frame 176 - 28 objek
