timestamp,event_type,message
2025-08-10 02:26:33,DETECTION,Frame 120 - 1 objek
2025-08-10 02:26:33,DETECTION,Frame 125 - 1 objek
2025-08-10 02:26:33,DETECTION,Frame 130 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 135 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 140 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 145 - 1 objek
2025-08-10 02:26:34,DETECTION,Frame 150 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 155 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 160 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 165 - 1 objek
2025-08-10 02:26:35,DETECTION,Frame 170 - 1 objek
2025-08-10 02:26:36,DETECTION,Frame 175 - 1 objek
2025-08-10 02:26:36,DETECTION,Frame 180 - 1 objek
2025-08-10 02:26:36,DETECTION,Frame 185 - 1 objek
2025-08-10 02:26:36,DETECTION,Frame 190 - 1 objek
2025-08-10 02:26:37,DETECTION,Frame 195 - 1 objek
2025-08-10 02:26:37,DETECTION,Frame 200 - 1 objek
2025-08-10 02:26:37,DETECTION,Frame 205 - 1 objek
2025-08-10 02:26:38,DETECTION,Frame 210 - 1 objek
2025-08-10 02:26:38,DETECTION,Frame 215 - 1 objek
2025-08-10 02:26:38,DETECTION,Frame 220 - 1 objek
2025-08-10 02:26:39,DETECTION,Frame 225 - 1 objek
2025-08-10 02:26:39,DETECTION,Frame 230 - 1 objek
2025-08-10 02:26:39,DETECTION,Frame 235 - 1 objek
2025-08-10 02:26:40,DETECTION,Frame 240 - 1 objek
2025-08-10 02:26:40,DETECTION,Frame 245 - 1 objek
2025-08-10 02:26:40,DETECTION,Frame 250 - 1 objek
2025-08-10 02:26:41,DETECTION,Frame 255 - 1 objek
2025-08-10 02:26:41,DETECTION,Frame 260 - 1 objek
2025-08-10 02:26:41,DETECTION,Frame 265 - 1 objek
2025-08-10 02:26:41,DETECTION,Frame 270 - 1 objek
2025-08-10 02:26:42,DETECTION,Frame 275 - 1 objek
2025-08-10 02:26:42,DETECTION,Frame 280 - 1 objek
2025-08-10 02:26:42,DETECTION,Frame 285 - 1 objek
2025-08-10 02:26:43,DETECTION,Frame 290 - 1 objek
2025-08-10 02:26:43,DETECTION,Frame 295 - 1 objek
2025-08-10 02:26:43,DETECTION,Frame 300 - 1 objek
2025-08-10 02:26:44,DETECTION,Frame 305 - 1 objek
2025-08-10 02:26:44,DETECTION,Frame 310 - 1 objek
2025-08-10 02:26:45,DETECTION,Frame 315 - 1 objek
2025-08-10 02:26:45,DETECTION,Frame 320 - 1 objek
2025-08-10 02:26:45,DETECTION,Frame 325 - 1 objek
2025-08-10 02:26:46,DETECTION,Frame 330 - 1 objek
2025-08-10 02:26:46,DETECTION,Frame 335 - 1 objek
2025-08-10 02:26:46,DETECTION,Frame 340 - 1 objek
2025-08-10 02:26:47,DETECTION,Frame 345 - 1 objek
2025-08-10 02:26:47,DETECTION,Frame 350 - 1 objek
2025-08-10 02:26:47,DETECTION,Frame 355 - 1 objek
2025-08-10 02:26:48,DETECTION,Frame 360 - 1 objek
2025-08-10 02:26:48,DETECTION,Frame 365 - 1 objek
2025-08-10 02:26:48,DETECTION,Frame 370 - 1 objek
2025-08-10 02:26:49,DETECTION,Frame 375 - 1 objek
2025-08-10 02:26:49,DETECTION,Frame 380 - 1 objek
2025-08-10 02:26:49,DETECTION,Frame 385 - 1 objek
2025-08-10 02:26:50,DETECTION,Frame 390 - 1 objek
2025-08-10 02:26:50,DETECTION,Frame 395 - 1 objek
2025-08-10 02:26:50,DETECTION,Frame 400 - 1 objek
2025-08-10 02:26:51,DETECTION,Frame 405 - 1 objek
2025-08-10 02:26:51,DETECTION,Frame 410 - 1 objek
2025-08-10 02:26:51,DETECTION,Frame 415 - 1 objek
2025-08-10 02:26:51,DETECTION,Frame 420 - 1 objek
2025-08-10 02:26:52,DETECTION,Frame 425 - 1 objek
2025-08-10 02:26:52,DETECTION,Frame 430 - 1 objek
2025-08-10 02:26:52,DETECTION,Frame 435 - 1 objek
2025-08-10 02:26:53,DETECTION,Frame 440 - 1 objek
2025-08-10 02:26:53,DETECTION,Frame 445 - 1 objek
2025-08-10 02:26:53,DETECTION,Frame 450 - 1 objek
2025-08-10 02:26:54,DETECTION,Frame 455 - 1 objek
2025-08-10 02:26:54,DETECTION,Frame 460 - 1 objek
2025-08-10 02:26:54,DETECTION,Frame 465 - 1 objek
2025-08-10 02:26:55,DETECTION,Frame 470 - 1 objek
2025-08-10 02:26:55,DETECTION,Frame 475 - 1 objek
2025-08-10 02:26:55,DETECTION,Frame 480 - 1 objek
2025-08-10 02:26:56,DETECTION,Frame 485 - 1 objek
2025-08-10 02:26:56,DETECTION,Frame 490 - 2 objek
2025-08-10 02:26:57,DETECTION,Frame 495 - 2 objek
2025-08-10 02:26:57,DETECTION,Frame 500 - 3 objek
